Keyword,Cleaned_Link,Relevance
Eritrean Troops,https://www.nytimes.com/2021/12/15/world/africa/ethiopia-abiy-ahmed-nobel-war.html,
Amhara,https://www.nytimes.com/2020/12/09/world/africa/ethiopia-tigray-sudan.html,
TPLF and Tigray Defense Forces,https://www.nytimes.com/2021/04/01/world/africa/ethiopia-tigray-sexual-assault.html,
Amhara Fano forces,https://www.nytimes.com/2021/07/02/world/africa/tigray-ethiopia-soldiers-captured.html,
Eritrean Troops,https://www.nytimes.com/2020/12/28/world/africa/Ethiopia-Eritrea-Tigray.html,
Eritrea,https://www.nytimes.com/2021/06/29/world/africa/tigray-fight-eritrea.html,
Amhara,https://www.nytimes.com/2022/07/06/world/africa/ethiopia-ethnic-massacres.html,
Amhara Fano forces,https://www.nytimes.com/2022/11/03/world/africa/ethiopia-tigray-civil-war-agreement.html,
TPLF and Tigray Defense Forces,https://www.nytimes.com/2021/06/29/world/africa/tigray-fight-eritrea.html,
Abiy Ahmed,https://www.nytimes.com/live/2021/06/29/world/tigray-ethiopia/abiy-ahmed-ethiopias-leader-swiftly-went-from-hero-to-pariah,
Amhara Region,https://www.nytimes.com/2022/06/20/world/africa/ethiopia-massacre-oromia.html,
Amhara Fano forces,https://www.nytimes.com/2022/06/19/world/africa/ethiopia-attack-amhara-people.html,
Amhara Region,https://www.nytimes.com/2022/06/19/world/africa/ethiopia-attack-amhara-people.html,
Tigray,https://www.nytimes.com/2022/08/26/world/africa/ethiopian-tigray-airstrike-kindergarten.html,
Tigray,https://www.nytimes.com/2022/10/24/world/africa/ethiopia-tigray-peace-talks.html,
Tigray,https://www.nytimes.com/2021/03/19/world/africa/ethiopia-tigray-atrocities.html,
Amhara Region,https://www.nytimes.com/2021/01/13/world/africa/ethiopia-ethnic-killings.html,
Tigray,https://www.nytimes.com/2020/12/09/world/africa/ethiopia-tigray-sudan.html,
TPLF,https://www.nytimes.com/2020/11/26/opinion/ethiopia-tigray-abiy-ahmed.html,
